Name,Price,Condition,Engine_Capacity,Region,startMile,endMile
2011 Perodua ALZA 1.5 EZi (A) 2 THN WARRANTY,30800,1,1495,Perak,85000,89999
1993 Proton WIRA 1.5 A/B GL (M) Good Condition,3800,1,1468,Perak,250000,299999
2012 Chevrolet CRUZE 1.8 LT (A) 1 THN WARRANTY,21800,1,1796,Perak,100000,109999
2011 Mercedes Benz C200 CGI BlueEFCY,57850,1,1796,Kelantan,100000,109999
2005 Lexus IS250 2.5 Dual VVTi (A) 6 BLN WARRANTY,59800,1,2499,Perak,95000,99999
2009 Audi TT 2.0 S TFSI Quattro (A) 3 BLN WARRANTY,71800,1,1984,Perak,75000,79999
2014 Nissan TEANA 2.0 XL (A) 3 TAHUN WARRANTY,56800,1,1997,Perak,60000,64999
2006 Lexus IS250 2.5 Dual VVTi (A) 6 BLN WARRANTY,63800,1,2499,Perak,140000,149999
2019 Mini COOPER S COUNTRYMAN 2.0L (A),193000,2,1998,Selangor,20000,24999
2018 Fiat ABARTH 595 1.4 TURBOCHARGE  (A),139000,2,1368,Selangor,75000,79999
2017 Mini COOPER 2.0 SD CLUBMAN END YEAR PROMO (A),139000,2,1995,Selangor,70000,74999
Audi Q5 2.0 TFSI S-LINE FACELIFT [[EndYear SALE]],175000,2,1984,Selangor,75000,79999
2017 Mercedes Benz B180 (CBU) 1.6 (A),119000,2,1595,Selangor,55000,59999
Land Rover RANGE ROVER 3.0 VOGUE SDV6 (A),670000,2,2993,Kuala Lumpur,10000,14999
2019 Toyota HARRIER 2.0T LUXURY (A)Panoramic roof,173800,1,1998,Selangor,100000,109999
2015 Honda CITY 1.5 V i-VTEC (A) 3 TAHUN WARRANTY,55800,1,1497,Perak,65000,69999
2012 Mitsubishi PAJERO SPORT 2.5 GL (A) 3 Thn WTY,53800,1,2477,Perak,100000,109999
2009 Audi A4 1.8 TFSI S-LINE (A) 3 BULAN WARRANTY,39800,1,1798,Perak,95000,99999
2009 Toyota VIOS 1.5 VVTi J (M) 6 BULAN WARRANTY,27800,1,1497,Perak,100000,109999
ALL-IN 2012 Volkswagen BEETLE 1.2 TSI (A),60800,1,1197,Selangor,55000,59999
